Unnamed: 0,brand,model,price,engine,year,mileage,fuel,gearbox,location,car_age,price_per_km,brand_classification,log_price,log_mileage
330,Volkswagen,Golf,14990,Advance 1.6 TDI BMT,2017,65655,Diésel,Manual,Gavá,8,0.22831467519610082,economy,9.615205300012315,11.092184269309547
331,Renault,Clio,6990,Dynamique Energy dCi 90 S&S eco2,2013,161540,Diésel,Manual,Hospitalet,12,0.04327101646650984,economy,8.852378886511985,11.99251425939436
332,BMW,Serie 5,20990,520d,2017,178000,Diésel,Automatica,Sabadell 3,8,0.11792134831460674,luxury,9.951849053414007,12.08954444723597
333,Volkswagen,Golf,10990,Advance 1.6 TDI 105cv BMT DSG,2013,136000,Diésel,Automatica,Sabadell 3,12,0.08080882352941177,economy,9.3048320350689,11.820417517632333
334,SEAT,Ibiza,9490,1.6 TDI 105cv FR,2015,112700,Diésel,Manual,Hospitalet,10,0.08420585625554569,economy,9.158099260130491,11.632493573102964
338,Ford,Focus,15990,1.0 Ecoboost 92kW ST-Line,2019,30058,Gasolina,Manual,Sabadell 2,6,0.5319715217246657,economy,9.679781342959442,10.31091739595388
339,Ford,Kuga,23490,Titanium 1.5 EcoBlue 88kW (120CV) Auto,2020,28000,Diésel,Automatica,Sabadell 2,5,0.8389285714285715,economy,10.064372648053764,10.239995502805314
340,Kia,Ceed,15990,1.0 T-GDi 88kW (120CV) Business,2020,22800,Gasolina,Manual,Sabadell 2,5,0.7013157894736842,economy,9.679781342959442,10.034559673629849
341,Volkswagen,T-Roc,23460,Advance Style 2.0 TDI 110kW (150CV),2019,19500,Diésel,Manual,Sabadell 1,6,1.2030769230769232,economy,10.063094747044966,9.87822102528824
342,Honda,CR-V,14990,2.2 i-DTEC Comfort,2013,110000,Diésel,Manual,Sabadell 1,12,0.13627272727272727,economy,9.615205300012315,11.608244735642321
344,Kia,Sportage,14490,1.7 CRDi VGT 115CV Drive 4x2 Eco-Dynam,2016,118000,Diésel,Manual,Sabadell 1,9,0.12279661016949152,economy,9.581283046045924,11.678448377988163
345,SEAT,Leon,13580,2.0 TDI 150cv St&Sp FR,2014,90000,Diésel,Manual,Sabadell 1,11,0.15088888888888888,economy,9.516427036104067,11.407576060361786
346,Ford,Kuga,13990,2.0 TDCi 140 4x2 Trend,2014,69429,Diésel,Manual,Esplugas,11,0.2015008137809849,economy,9.546169544733285,11.148074329747319
348,Toyota,Yaris,10990,1.0 70 Business,2019,16184,Gasolina,Manual,Mataró,6,0.6790657439446367,economy,9.3048320350689,9.691840166360345
351,Toyota,Auris,17490,1.8 140H Hybrid Advance,2016,36000,Híbrido,Automatica,Badalona,9,0.48583333333333334,economy,9.769441741907062,10.491301994830229
352,Kia,Picanto,11990,1.0 DPi 49kW (67CV) Concept,2021,3800,Gasolina,Manual,Badalona,4,3.155263157894737,economy,9.391911647379432,8.243019468989248
354,Ford,Grand C-Max,11490,1.5 TDCi 120CV Titanium,2016,165000,Diésel,Manual,Hospitalet,9,0.06963636363636364,economy,9.349319399257633,12.013706813470412
356,Kia,Stonic,15990,1.0 T-GDi 74kW (100CV) Tech,2019,64000,Gasolina,Manual,Hospitalet,6,0.24984375,economy,9.679781342959442,11.06665398721974
357,Audi,A1,20990,30 TFSI 85kW (116CV) Sportback SLine ,2019,40457,Gasolina,Manual,Mataró,6,0.5188224534691154,luxury,9.951849053414007,10.608019677962636
358,Opel,Astra,11490,1.6 CDTi S/S 110 CV Selective,2015,45300,Diésel,Manual,Hospitalet,10,0.25364238410596024,economy,9.349319399257633,10.721084386282662
361,Kia,Ceed,13990,1.0 T-GDi 88kW (120CV) Tech,2019,70000,Gasolina,Manual,Sabadell 3,6,0.19985714285714284,economy,9.546169544733285,11.156264806643742
362,Hyundai,Tucson,16990,1.6 GDi Tecno 4x2,2018,43390,Gasolina,Manual,Gavá,7,0.3915648766997004,economy,9.740439071085758,10.678007325311796
364,Renault,Megane,11990,Intens Energy dCi 81kW (110CV),2016,86310,Diésel,Manual,Granollers,9,0.1389178542463214,economy,9.391911647379432,11.365712331289558
365,Ford,Fiesta,8990,1.0 EcoBoost 100cv Powershift Trend 5p,2015,71100,Gasolina,Manual,Granollers,10,0.12644163150492266,economy,9.103979355984773,11.171856680390034
367,SEAT,Leon,10990,SC 1.2 TSI 110cv St&Sp Style,2014,95650,Gasolina,Manual,Badalona,11,0.11489806586513329,economy,9.3048320350689,11.468461429596811
368,Volkswagen,Tiguan,15990,Sport 2.0 TDI 140CV DSG BMT 4Motion,2015,146500,Diésel,Automatica,Badalona,10,0.10914675767918089,economy,9.679781342959442,11.89478753335453
371,BMW,X5,82580,xDrive30d,2021,14000,Híbrido,Automatica,Sabadell 1,4,5.898571428571429,luxury,11.321534908836368,9.546884034617925
372,Opel,Corsa,10990,1.4 Selective 66kW (90CV),2018,47450,Gasolina,Manual,Hospitalet,7,0.23161222339304532,economy,9.3048320350689,10.767452878631598
373,Ford,Focus,16490,1.0 Ecoboost 92kW ST-Line,2019,28592,Gasolina,Manual,Esplugas,6,0.5767347509792949,economy,9.71057005652877,10.260917211605735
